survived,class,sex,age,siblings/spouses,parents/children,fare,who,embark_town,alone
True,1,female,50.0,0,1,247.5208,woman,Cherbourg,False
True,3,female,,0,0,7.75,woman,Queenstown,True
True,3,male,,2,0,23.25,man,Queenstown,False
False,3,male,19.0,0,0,0.0,man,Southampton,True
True,2,female,,0,0,12.35,woman,Queenstown,True
False,3,male,,0,0,8.05,man,Southampton,True
True,1,male,0.92,1,2,151.55,child,Southampton,False
True,1,female,,0,0,110.8833,woman,Cherbourg,True
True,1,female,17.0,1,0,108.9,woman,Cherbourg,False
False,2,male,30.0,1,0,24.0,man,Cherbourg,False
True,1,female,30.0,0,0,56.9292,woman,Cherbourg,True
True,1,female,24.0,0,0,83.1583,woman,Cherbourg,True
True,1,female,18.0,2,2,262.375,woman,Cherbourg,False
False,2,female,26.0,1,1,26.0,woman,Southampton,False
False,3,male,28.0,0,0,7.8958,man,Southampton,True
False,2,male,43.0,1,1,26.25,man,Southampton,False
True,3,female,26.0,0,0,7.8542,woman,Southampton,True
True,2,female,24.0,1,0,26.0,woman,Southampton,False
False,2,male,54.0,0,0,14.0,man,Southampton,True
True,1,female,31.0,0,2,164.8667,woman,Southampton,False
True,1,female,40.0,1,1,134.5,woman,Cherbourg,False
False,3,male,22.0,0,0,7.25,man,Southampton,True
False,3,male,27.0,0,0,7.8958,man,Southampton,True
True,2,female,30.0,0,0,12.35,woman,Queenstown,True
True,2,female,22.0,1,1,29.0,woman,Southampton,False
False,3,male,,8,2,69.55,man,Southampton,False
True,1,female,36.0,0,0,135.6333,woman,Cherbourg,True
False,3,male,61.0,0,0,6.2375,man,Southampton,True
True,2,female,36.0,0,0,13.0,woman,Southampton,True
True,3,female,31.0,1,1,20.525,woman,Southampton,False
True,1,female,16.0,0,1,57.9792,woman,Cherbourg,False
True,3,female,,2,0,23.25,woman,Queenstown,False
False,1,male,45.5,0,0,28.5,man,Southampton,True
False,1,male,38.0,0,1,153.4625,man,Southampton,False
False,3,male,16.0,2,0,18.0,man,Southampton,False
True,1,female,,1,0,133.65,woman,Southampton,False
False,3,male,,0,0,7.8958,man,Southampton,True
False,1,male,29.0,1,0,66.6,man,Southampton,False
True,1,female,41.0,0,0,134.5,woman,Cherbourg,True
True,3,male,45.0,0,0,8.05,man,Southampton,True
False,1,male,45.0,0,0,35.5,man,Southampton,True
True,2,male,2.0,1,1,26.0,child,Southampton,False
True,1,female,24.0,3,2,263.0,woman,Southampton,False
False,2,male,28.0,0,0,13.0,man,Southampton,True
False,2,male,25.0,0,0,13.0,man,Southampton,True
False,2,male,36.0,0,0,13.0,man,Southampton,True
True,2,female,24.0,0,0,13.0,woman,Southampton,True
True,2,female,40.0,0,0,13.0,woman,Southampton,True
True,3,female,,1,0,16.1,woman,Southampton,False
True,3,male,3.0,1,1,15.9,child,Southampton,False
False,3,male,42.0,0,0,8.6625,man,Southampton,True
False,3,male,23.0,0,0,9.225,man,Southampton,True
False,1,male,,0,0,35.0,man,Southampton,True
False,3,male,15.0,1,1,7.2292,child,Cherbourg,False
False,3,male,25.0,1,0,17.8,man,Southampton,False
False,3,male,,0,0,7.225,man,Cherbourg,True
False,3,male,28.0,0,0,9.5,man,Southampton,True
True,1,female,22.0,0,1,55.0,woman,Southampton,False
False,2,female,38.0,0,0,13.0,woman,Southampton,True
True,3,female,,0,0,7.8792,woman,Queenstown,True
True,3,female,,0,0,7.8792,woman,Queenstown,True
False,3,male,40.0,1,4,27.9,man,Southampton,False
False,2,male,29.0,1,0,27.7208,man,Cherbourg,False
False,3,female,45.0,0,1,14.4542,woman,Cherbourg,False
False,3,male,35.0,0,0,7.05,man,Southampton,True
False,3,male,,1,0,15.5,man,Queenstown,False
False,3,male,30.0,0,0,7.25,man,Southampton,True
True,1,female,60.0,1,0,75.25,woman,Cherbourg,False
True,3,female,,0,0,7.2292,woman,Cherbourg,True
True,3,female,,0,0,7.75,woman,Queenstown,True
True,1,female,24.0,0,0,69.3,woman,Cherbourg,True
True,1,male,25.0,1,0,55.4417,man,Cherbourg,False
False,3,male,18.0,1,0,6.4958,man,Southampton,False
False,3,male,19.0,0,0,8.05,man,Southampton,True
False,1,male,22.0,0,0,135.6333,man,Cherbourg,True
False,3,female,3.0,3,1,21.075,child,Southampton,False
True,1,female,,1,0,82.1708,woman,Cherbourg,False
True,3,female,22.0,0,0,7.25,woman,Southampton,True
False,1,male,27.0,0,2,211.5,man,Cherbourg,False
False,3,male,20.0,0,0,4.0125,man,Cherbourg,True
False,3,male,19.0,0,0,7.775,man,Southampton,True
True,1,female,42.0,0,0,227.525,woman,Cherbourg,True
True,3,female,1.0,0,2,15.7417,child,Cherbourg,False
False,3,male,32.0,0,0,7.925,man,Southampton,True
True,1,female,35.0,1,0,52.0,woman,Southampton,False
False,3,male,,0,0,7.8958,man,Southampton,True
False,2,male,18.0,0,0,73.5,man,Southampton,True
False,3,male,1.0,5,2,46.9,child,Southampton,False
True,2,female,36.0,0,0,13.0,woman,Southampton,True
False,3,male,,0,0,7.7292,man,Queenstown,True
True,2,female,17.0,0,0,12.0,woman,Cherbourg,True
True,1,male,36.0,1,2,120.0,man,Southampton,False
True,3,male,21.0,0,0,7.7958,man,Southampton,True
False,3,male,28.0,2,0,7.925,man,Southampton,False
True,1,female,23.0,1,0,113.275,woman,Cherbourg,False
True,3,female,24.0,0,2,16.7,woman,Southampton,False
False,3,male,22.0,0,0,7.7958,man,Southampton,True
False,3,female,31.0,0,0,7.8542,woman,Southampton,True
False,2,male,46.0,0,0,26.0,man,Southampton,True
False,2,male,23.0,0,0,10.5,man,Southampton,True
True,2,female,28.0,0,0,12.65,woman,Southampton,True
True,3,male,39.0,0,0,7.925,man,Southampton,True
False,3,male,26.0,0,0,8.05,man,Southampton,True
False,3,female,21.0,1,0,9.825,woman,Southampton,False
False,3,male,28.0,1,0,15.85,man,Southampton,False
False,3,female,20.0,0,0,8.6625,woman,Southampton,True
False,2,male,34.0,1,0,21.0,man,Southampton,False
False,3,male,51.0,0,0,7.75,man,Southampton,True
True,2,male,3.0,1,1,18.75,child,Southampton,False
False,3,male,21.0,0,0,7.775,man,Southampton,True
False,3,female,,3,1,25.4667,woman,Southampton,False
False,3,male,,0,0,7.8958,man,Southampton,True
False,3,male,,0,0,6.8583,man,Queenstown,True
True,1,female,33.0,1,0,90.0,woman,Queenstown,False
False,2,male,,0,0,0.0,man,Southampton,True
True,3,male,44.0,0,0,7.925,man,Southampton,True
False,3,female,,0,0,8.05,woman,Southampton,True
True,2,female,34.0,1,1,32.5,woman,Southampton,False
True,2,female,18.0,0,2,13.0,woman,Southampton,False
False,2,male,30.0,0,0,13.0,man,Southampton,True
False,3,female,10.0,0,2,24.15,child,Southampton,False
False,3,male,,0,0,7.8958,man,Cherbourg,True
False,3,male,21.0,0,0,7.7333,man,Queenstown,True
False,3,male,29.0,0,0,7.875,man,Southampton,True
False,3,female,28.0,1,1,14.4,woman,Southampton,False
False,3,male,18.0,1,1,20.2125,man,Southampton,False
False,3,male,,0,0,7.25,man,Southampton,True
True,2,female,28.0,1,0,26.0,woman,Southampton,False
True,2,female,19.0,0,0,26.0,woman,Southampton,True
False,3,male,,0,0,7.75,man,Queenstown,True
True,3,male,32.0,0,0,8.05,man,Southampton,True
True,1,male,28.0,0,0,26.55,man,Southampton,True
True,3,female,,1,0,16.1,woman,Southampton,False
True,2,female,42.0,1,0,26.0,woman,Southampton,False
False,3,male,17.0,0,0,7.125,man,Southampton,True
False,1,male,50.0,1,0,55.9,man,Southampton,False
True,1,female,14.0,1,2,120.0,child,Southampton,False
False,3,female,21.0,2,2,34.375,woman,Southampton,False
True,2,female,24.0,2,3,18.75,woman,Southampton,False
False,1,male,64.0,1,4,263.0,man,Southampton,False
False,2,male,31.0,0,0,10.5,man,Southampton,True
True,2,female,45.0,1,1,26.25,woman,Southampton,False
False,3,male,20.0,0,0,9.5,man,Southampton,True
False,3,male,25.0,1,0,7.775,man,Southampton,False
True,2,female,28.0,0,0,13.0,woman,Southampton,True
True,3,male,,0,0,8.1125,man,Southampton,True
True,1,male,4.0,0,2,81.8583,child,Southampton,False
True,2,female,13.0,0,1,19.5,child,Southampton,False
True,1,male,34.0,0,0,26.55,man,Southampton,True
True,3,female,5.0,2,1,19.2583,child,Cherbourg,False
True,1,male,52.0,0,0,30.5,man,Southampton,True
False,2,male,36.0,1,2,27.75,man,Southampton,False
False,3,male,,1,0,19.9667,man,Southampton,False
False,1,male,30.0,0,0,27.75,man,Cherbourg,True
True,1,male,49.0,1,0,89.1042,man,Cherbourg,False
False,3,male,,0,0,8.05,man,Southampton,True
True,3,male,29.0,0,0,7.8958,man,Cherbourg,True
False,1,male,65.0,0,0,26.55,man,Southampton,True
True,1,female,,1,0,51.8625,woman,Southampton,False
True,2,female,50.0,0,0,10.5,woman,Southampton,True
False,3,male,,0,0,7.75,man,Queenstown,True
True,1,male,48.0,0,0,26.55,man,Southampton,True
False,3,male,34.0,0,0,8.05,man,Southampton,True
False,1,male,47.0,0,0,38.5,man,Southampton,True
False,2,male,48.0,0,0,13.0,man,Southampton,True
False,3,male,,0,0,8.05,man,Southampton,True
False,3,male,38.0,0,0,7.05,man,Southampton,True
False,2,male,,0,0,0.0,man,Southampton,True
False,1,male,56.0,0,0,26.55,man,Southampton,True
False,3,male,,0,0,7.725,man,Queenstown,True
True,3,female,0.75,2,1,19.2583,child,Cherbourg,False
False,3,male,,0,0,7.25,man,Southampton,True
False,3,male,38.0,0,0,8.6625,man,Southampton,True
True,2,female,33.0,1,2,27.75,woman,Southampton,False
True,2,female,23.0,0,0,13.7917,woman,Cherbourg,True
False,3,female,22.0,0,0,9.8375,woman,Southampton,True
False,1,male,,0,0,52.0,man,Southampton,True
False,2,male,34.0,1,0,21.0,man,Southampton,False
False,3,male,29.0,1,0,7.0458,man,Southampton,False
False,3,male,22.0,0,0,7.5208,man,Southampton,True
True,3,female,2.0,0,1,12.2875,child,Southampton,False
False,3,male,9.0,5,2,46.9,child,Southampton,False
False,2,male,,0,0,0.0,man,Southampton,True
False,3,male,50.0,0,0,8.05,man,Southampton,True
True,3,female,63.0,0,0,9.5875,woman,Southampton,True
True,1,male,25.0,1,0,91.0792,man,Cherbourg,False
False,3,female,,3,1,25.4667,woman,Southampton,False
True,1,female,35.0,1,0,90.0,woman,Southampton,False
False,1,male,58.0,0,0,29.7,man,Cherbourg,True
False,3,male,30.0,0,0,8.05,man,Southampton,True
True,3,male,9.0,1,1,15.9,child,Southampton,False
False,3,male,,1,0,19.9667,man,Southampton,False
False,3,male,21.0,0,0,7.25,man,Southampton,True
False,1,male,55.0,0,0,30.5,man,Southampton,True
False,1,male,71.0,0,0,49.5042,man,Cherbourg,True
False,3,male,21.0,0,0,8.05,man,Southampton,True
False,3,male,,0,0,14.4583,man,Cherbourg,True
True,1,female,54.0,1,0,78.2667,woman,Cherbourg,False
False,3,male,,0,0,15.1,man,Southampton,True
False,1,female,25.0,1,2,151.55,woman,Southampton,False
False,3,male,24.0,0,0,7.7958,man,Southampton,True
False,3,male,17.0,0,0,8.6625,man,Southampton,True
False,3,female,21.0,0,0,7.75,woman,Queenstown,True
False,3,female,,0,0,7.6292,woman,Queenstown,True
False,3,female,37.0,0,0,9.5875,woman,Southampton,True
True,1,female,16.0,0,0,86.5,woman,Southampton,True
False,1,male,18.0,1,0,108.9,man,Cherbourg,False
